,Component 5,Component 6,Component 7,Component 9,Base Action,Action
121,0.20187113412157498,0.3290602427667738,0.07972985179605481,0.035246522448524845,1,Turn right 1
122,-0.04131053710355335,0.04644520025721033,0.15728463577798707,-0.02444454730015812,2,Turn right 1
123,0.15761830336615937,-0.0997314429739459,0.09367431618545205,-0.0070953576993314435,3,Turn right 1
124,0.07914899095850801,-0.01686784262408293,0.12384155973420959,0.019322757907206656,3,Turn right 1
125,-0.070740171841229,-0.057234670844813866,-0.028263085955443894,-0.015398331052719252,0,Turn right 1
126,-0.012601796940043446,-0.06501905000395349,0.11693983894846616,-0.012123371333901473,3,Turn right 1
127,-0.15196275758235273,-0.11339377138747643,-0.05660057641881571,0.02355655773759169,0,Turn right 1
128,-0.1125466013202629,-0.14615703851713932,0.08159943608479031,-0.007493745511078619,0,Turn right 1
129,-0.04804417389157341,-0.13031150532757585,-0.17916604417016951,0.08255341080465253,0,Turn right 1
130,-0.21820003469717705,0.021694979709050606,0.13962288869300213,0.03589324564613838,2,Turn right 1
131,-0.16690914129818185,-0.1153410018572151,0.019994626154848847,-0.00972161465849029,0,Turn right 1
132,-0.15049949851201389,0.0814296826742812,0.1220119640247848,0.06083325283314817,2,Turn right 1
133,-0.18019639510518243,0.015523521467459,0.05794449920419164,0.041797748679064176,2,Turn right 1
134,-0.03162831555559078,-0.2616880254389227,0.013515669587180604,-0.013008915883869474,0,Turn right 1
135,-0.06109706903611382,-0.08063405077137688,-0.05970138234788641,0.006978228918024696,0,Turn right 1
136,-0.1909674712019345,-0.08025820723342499,0.17654757730582113,-0.0006515246190415081,2,Turn right 1
137,0.022813034727216557,-0.1530502230422066,0.04675813016186685,-0.015122132969039113,3,Turn right 1
138,-0.12301613112086636,0.0917644525397749,0.19252957625018519,-0.0017127764074717309,2,Turn right 1
139,-0.17939309808175075,0.10117818525764866,0.04581395771024974,0.010903842762643508,2,Turn right 1
140,0.058783997752511245,0.09198804447378425,0.0643490632902884,-0.0032522994612304646,4,Turn right 1
141,-0.014611681502271075,0.07680710900160305,0.012265256094047928,0.009375684483289636,4,Turn right 1
142,-0.022606809023551264,-0.13411758078845298,0.217476277302568,-0.02705344319278722,3,Turn right 1
143,0.12347931549161839,-0.15057488523817236,-0.04916442894462802,-0.002428254053635093,3,Turn right 1
144,-0.13065383567292393,0.045603167294165005,0.13424864584238194,0.0012415473679003378,2,Turn right 1
145,-0.12048684132416931,0.021564265488530868,-0.12487463313616601,0.05404065889791551,0,Turn right 1
