,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
24852,0.6135878338175195,0.5620371937504839,0.4205369862744331,0.4521741604923294,0.5349734738293661,0.580252140151909,0.508419397536177,0.7944678535808254,0.1549788503795564
24864,0.6348153782121645,0.5617277186389831,0.4313218156175629,0.4067233252905945,0.5330080656218336,0.6388079876389334,0.496975534962205,0.7786712154719098,0.153018974324758
24876,0.5711177872344274,0.5697517711255574,0.4416299512944429,0.6264458582890384,0.6127084845137082,0.5545113625296415,0.6309103795435194,0.0903065058814089,0.1706781787986276
24888,0.5551973028662786,0.5518512654523274,0.4814857203516472,0.5505153643270834,0.3790665937454114,0.5722940743261654,0.3093909293158188,0.5026950298488254,0.1490184711686335
24900,0.6390578259611992,0.5685183206484777,0.4191267227049285,0.4412370840653424,0.4311081102197274,0.5599803356616114,0.366628354526943,0.6401204077853899,0.1194664273696667
24912,0.6114591310461012,0.5129644534965353,0.3994372618211925,0.4495744986767672,0.4616055302604462,0.5081053842205996,0.3554769529927921,0.6739928285910337,0.0841834531279701
24924,0.5668753394853927,0.5891996017884628,0.4125657710135992,0.4702826790557795,0.4897736451679687,0.5906336414480919,0.4539217894898464,0.7016389457986586,0.1465489811325082
24936,0.6252507387149968,0.5561749665076628,0.3924062222733617,0.3602869924799643,0.4798018965809193,0.5759946795763359,0.4429322744045746,0.7203315545773274,0.1167439953274065
24948,0.357748858989921,0.5746899724349709,0.4256943570177472,0.4075302201793366,0.4960331587013166,0.6252497710204337,0.4652730186844782,0.7302246947377733,0.1450957128153191
24960,0.3067939169087597,0.5240743571602705,0.7041743263975146,0.3663826995744986,0.417933947083854,0.5879809528395108,0.3814225859001461,0.6672239958904935,0.1026402029259046
24972,0.357748858989921,0.4854926209148842,0.843880980821414,0.4013450245101343,0.4919570267219514,0.5892581226192417,0.4575478683727624,0.7262448328312406,0.113084533819699
24984,0.5212272835028927,0.5287031339260119,0.81106293393353,0.4335275871933238,0.4576020560632311,0.5913215376483991,0.4189922577435882,0.6717605850134156,0.1133278447117013
24996,0.5275986079511805,0.5620371937504839,0.4167830428556516,0.4527118407987024,0.5413059491523208,0.5985590154480505,0.5115734901143907,0.8058471833942862,0.1560090455646618
25008,0.5573108739160599,0.5549371166294883,0.41959681056143,0.3636935491842685,0.6105971527269621,0.6009169304810377,0.5747472647701113,0.8369623916136548,0.1734290031426659
25020,0.5944740344004907,0.5567895173295696,0.4242841702599839,0.3541909109562472,0.520488734547681,0.5933846791057924,0.4883810514604763,0.7589271682881598,0.1264558883420958
25032,0.5541328645166519,0.5601847930504026,0.4177232185686546,0.4101302564240815,0.5536063948576531,0.6031439414250026,0.5220068497796747,0.8046173377697392,0.1456076093150243
25044,0.5318410557002152,0.5688277957599785,0.4238207650249718,0.4209770954180352,0.4199723170809933,0.5419355421152788,0.3368047864880514,0.6466290621331691,0.0760812922817392
25056,0.5700533488848009,0.5595702927963245,0.4228805893119688,0.5372478406669033,0.4960331587013166,0.6038972212768798,0.4624242907094699,0.6122714603796492,0.1552494401497376
25068,0.5605041889649398,0.5620371937504839,0.4256943570177472,0.3526673586117963,0.4369313730527182,0.6041591662408067,0.4084504016026936,0.6851105908038011,0.1051572083141233
25080,0.5976520437998988,0.5614182435274823,0.4214704025542054,0.4850737550604104,0.4685201798629717,0.5920092970628241,0.4295057023687746,0.6464479597727146,0.1401944499674894
25092,0.5796026827324967,0.5638895438827365,0.4252242691612457,0.3677276491987964,0.5781349324936242,0.6085475309054023,0.5418924839584439,0.8142628583787321,0.1593223436753963
25104,0.5732466639336806,0.5614182435274823,0.4252242691612457,0.5036308397847482,0.6224613477319372,0.6013100531057508,0.5960313966189587,0.94284800716274,0.1895983633341147
25116,0.6210082909659621,0.5586418674618222,0.4224105782672085,0.33213815538212,0.4720138335553094,0.5735712441058964,0.435326511649491,0.7182541565742435,0.0874900985326997
25128,0.60295892989856,0.5595702927963245,0.4205369862744331,0.3696102791294671,0.5975686091628456,0.5931881177934358,0.5670472112972711,0.8296643943757019,0.1668128452674389
25140,0.5137916946328132,0.5635801193390643,0.4224105782672085,0.5144780532078845,0.4122566078300768,0.6040936458033545,0.3754130176119434,0.5503755470580508,0.1397932277735389
25152,0.5764246733330887,0.5614182435274823,0.4219404904107069,0.4164948036718023,0.4697577942191766,0.6119536361517426,0.4386911453972338,0.6943959349938662,0.1306792153959984
25164,0.636928949261946,0.5570989418732417,0.4224105782672085,0.4017928418126566,0.4224466337710331,0.5620763057306719,0.3637605079694894,0.6567228096950389,0.0930965760526355
25176,0.6411865287326174,0.5641990189942372,0.41959681056143,0.5436127623438068,0.5849766203065428,0.5936139322439341,0.5634983762226866,0.9833792600176444,0.1784497641782735
25188,0.5944740344004907,0.5759278728809741,0.4205369862744331,0.5411025891029126,0.4931213752810929,0.5999017056652336,0.4586975285177629,0.5787343762399038,0.154801621178163
25200,0.5573108739160599,0.5604942681619034,0.4242841702599839,0.5356344253186018,0.593711058544844,0.5841166148886509,0.5799330174840917,0.9723645244315364,0.1834739768270383
25212,0.6231371676652153,0.5749994475464717,0.4228805893119688,0.5317796768825925,0.644151367744748,0.5897822861188593,0.6285441146196308,0.9781710250893731,0.1988153395589857
25224,0.6295084921135032,0.5617277186389831,0.4205369862744331,0.540026854060984,0.4894094442348481,0.6103815560105359,0.4562877584604463,0.5722072171096664,0.1552977905695304
25236,0.609330254346848,0.5762328980235514,0.4228805893119688,0.5022858901604504,0.5659801063600488,0.5865072217474233,0.545167621431706,0.8963557137100099,0.170799625477704
25248,0.6326865015129113,0.5679038203943997,0.4219404904107069,0.3579561708175885,0.4053419582275513,0.6057638014219167,0.3802610284329427,0.6610556517162102,0.1029688855723711
25260,0.5859740071807846,0.5620371937504839,0.4228805893119688,0.4442853120417923,0.4442822733556009,0.582217206131947,0.3988877365125504,0.6496967438473543,0.1221380316246261
25272,0.5180341423818478,0.5629655685171576,0.4228805893119688,0.5390409820229061,0.5683091074857884,0.5890945267044342,0.5472128954187496,0.9685205587577412,0.1750733627850576
25284,0.5849248744806298,0.5592608176848237,0.4233506771684703,0.4982521645751052,0.4250671780477431,0.6082200655040232,0.3909779705393891,0.5776522076705601,0.1356079798067269
25296,0.538212380148503,0.5598753179389018,0.4228805893119688,0.5435228993399562,0.5946574337575352,0.5989521380727636,0.5704902134758424,0.9851136804912024,0.1793262233999275
25308,0.520162845153266,0.5567895173295696,0.4219404904107069,0.3767820956951128,0.5764607634296054,0.6161127476781965,0.5383222810564207,0.8160844124826039,0.1567331049311833
25320,0.5466972756465723,0.570370721348559,0.4214704025542054,0.5026445933174875,0.6034645297779864,0.5842148271518882,0.5899320952936443,0.9313466458109062,0.1889024179134714
25332,0.6125233954678928,0.5620371937504839,0.4219404904107069,0.4149712513273514,0.4919570267219514,0.5788767581089407,0.4556164180205247,0.7239287064634704,0.1252752974643364
25344,0.6050878065978132,0.5620371937504839,0.4238207650249718,0.5687137458943841,0.540140992578266,0.59420334260924,0.5124972787095111,0.0658929185476158,0.1647715779475433
25356,0.6072166832970665,0.5614182435274823,0.4233506771684703,0.3634243346018994,0.6208601404575251,0.6027837841978384,0.5829630464437129,0.8436319764419116,0.1782490695745283
25368,0.5615686273145664,0.5604942681619034,0.4238207650249718,0.423218428505743,0.5327894842604699,0.620501112342792,0.4989068077424695,0.7819016059039259,0.148261927668607
